period,treated,unserved_total,outflow_wait,outflow_full,outflow_mismatch,referral_success_rate,county_allocation_ratio,avg_referral_path_length,county_occupancy,secondary_occupancy,township_occupancy,county_inpatient_share,secondary_inpatient_share,township_inpatient_share
181,328,200,5,0,195,0.0,0.3,1.0,0.0,0.0,0.35856779378427617,0.0,0.0,0.25
182,367,191,0,119,72,0.0,0.3,1.0,0.9967421134767409,0.4774631843265094,0.3481507880929809,1.0,1.0,0.2392638036809816
183,388,194,0,118,76,0.0,0.3,1.0,0.9965643349561759,0.04550606351084638,0.32032188063486383,1.0,1.0,0.22443181818181818
184,393,173,0,62,111,0.0,0.3,1.0,0.9969006035596176,0.0,0.3199704688804357,1.0,0.0,0.21666666666666667
185,324,198,24,0,174,0.0,0.3,1.0,0.0,0.0,0.3245648272186048,0.0,0.0,0.24691358024691357
186,372,204,0,115,89,0.0,0.3,1.0,1.0584952650493873,0.13141220551732924,0.2768753461651022,1.0,1.0,0.2166172106824926
187,337,167,0,101,66,0.0,0.3,1.0,0.9960976271587441,0.00983284169124877,0.21843978601147301,1.0,1.0,0.17880794701986755
188,344,142,0,45,97,0.0,0.3,1.0,0.9990310328282546,0.0,0.24561418214962089,1.0,0.0,0.2
189,316,174,4,0,170,0.0,0.3,1.0,0.0,0.0,0.32009499666494523,0.0,0.0,0.2563291139240506
190,342,159,0,120,39,0.0,0.3,1.0,0.995166472725218,0.0,0.25642135199520844,1.0,0.0,0.19934640522875818
191,372,163,0,108,55,0.0,0.3,1.0,0.995366820203014,0.0,0.2660830041459483,1.0,0.0,0.21407624633431085
192,379,174,0,74,100,0.0,0.3,1.0,1.0613296040461326,0.0,0.28637719012119917,1.0,0.0,0.21676300578034682
193,348,182,6,0,176,0.0,0.3,1.0,0.0,0.0,0.29579762248609714,0.0,0.0,0.22701149425287356
194,394,157,0,89,68,0.0,0.3,1.0,0.9999740372128646,0.17119012800855904,0.34253315250149374,1.0,1.0,0.2388888888888889
195,387,207,0,122,85,0.0,0.3,1.0,0.9976651167141244,0.0,0.24590748796425516,1.0,0.0,0.17222222222222222
196,369,176,0,69,107,0.0,0.3,1.0,0.9985556678748247,0.0,0.3466661533221682,1.0,0.0,0.2478134110787172
197,349,184,12,0,172,0.0,0.3,1.0,0.0,0.0,0.32194372304914715,0.0,0.0,0.21203438395415472
198,357,211,0,126,85,0.0,0.3,1.0,1.0625650936418576,0.05426937152917693,0.2963859819000338,1.0,1.0,0.22727272727272727
199,375,183,0,102,81,0.0,0.3,1.0,0.9956033636754785,0.023950830868930198,0.33777158486242453,1.0,1.0,0.2349570200573066
200,387,145,0,42,103,0.0,0.3,1.0,0.9978459858595422,0.0,0.35533464517117547,1.0,0.0,0.25555555555555554
201,309,202,19,0,183,0.0,0.3,1.0,0.0,0.008843766029325927,0.28311089526398964,0.0,1.0,0.24675324675324675
202,337,166,0,114,52,0.0,0.3,1.0,0.9967652548862488,0.07177463998528931,0.13000973887242945,1.0,1.0,0.11501597444089456
203,376,172,0,94,78,0.0,0.3,1.0,0.999796818491431,0.2616120474762982,0.2775310285822826,1.0,1.0,0.23076923076923078
204,349,175,0,65,110,0.0,0.3,1.0,1.063375094521641,0.0,0.23691221264206003,1.0,0.0,0.1728395061728395
205,366,187,8,0,179,0.0,0.3,1.0,0.0,0.0,0.3607767509604198,0.0,0.0,0.24316939890710382
206,372,194,0,120,74,0.0,0.3,1.0,0.9948648674198398,0.0,0.2434711573673818,1.0,0.0,0.19130434782608696
207,370,196,0,117,79,0.0,0.3,1.0,0.9934056206939134,0.0,0.3617258225186359,1.0,0.0,0.2507204610951009
208,391,177,0,60,117,0.0,0.3,1.0,0.9964284424875711,0.032970784150493385,0.3375276256284544,1.0,1.0,0.24863387978142076
