t,median,q05,q95,q25,q75
1.020000000000000000e+02,1.859903377149991766e-01,1.859903377149991766e-01,1.859903377149991766e-01,1.859903377149991766e-01,1.859903377149991766e-01
1.030000000000000000e+02,9.330143518348939236e-02,9.330143518348939236e-02,9.330143518348939236e-02,9.330143518348939236e-02,9.330143518348939236e-02
1.040000000000000000e+02,1.451990628918054804e-01,1.451990628918054804e-01,1.451990628918054804e-01,1.451990628918054804e-01,1.451990628918054804e-01
1.050000000000000000e+02,9.923664096886350428e-02,9.923664096886350428e-02,9.923664096886350428e-02,9.923664096886350428e-02,9.923664096886350428e-02
1.060000000000000000e+02,1.589595371128336987e-01,1.589595371128336987e-01,1.589595371128336987e-01,1.589595371128336987e-01,1.589595371128336987e-01
1.070000000000000000e+02,1.370558372155943339e-01,1.370558372155943339e-01,1.370558372155943339e-01,1.370558372155943339e-01,1.370558372155943339e-01
1.080000000000000000e+02,1.507760528807626232e-01,1.507760528807626232e-01,1.507760528807626232e-01,1.507760528807626232e-01,1.507760528807626232e-01
1.090000000000000000e+02,1.163895484171269673e-01,1.163895484171269673e-01,1.163895484171269673e-01,1.163895484171269673e-01,1.163895484171269673e-01
1.100000000000000000e+02,1.462882092875803230e-01,1.462882092875803230e-01,1.462882092875803230e-01,1.462882092875803230e-01,1.462882092875803230e-01
1.110000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.120000000000000000e+02,1.526104414606216098e-01,1.526104414606216098e-01,1.526104414606216098e-01,1.526104414606216098e-01,1.526104414606216098e-01
1.130000000000000000e+02,1.395348834259304838e-01,1.395348834259304838e-01,1.395348834259304838e-01,1.395348834259304838e-01,1.395348834259304838e-01
1.140000000000000000e+02,1.504424775432688655e-01,1.504424775432688655e-01,1.504424775432688655e-01,1.504424775432688655e-01,1.504424775432688655e-01
1.150000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.160000000000000000e+02,1.474654374482363139e-01,1.474654374482363139e-01,1.474654374482363139e-01,1.474654374482363139e-01,1.474654374482363139e-01
1.170000000000000000e+02,1.627906972537708219e-01,1.627906972537708219e-01,1.627906972537708219e-01,1.627906972537708219e-01,1.627906972537708219e-01
1.180000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.190000000000000000e+02,1.602870809562509935e-01,1.602870809562509935e-01,1.602870809562509935e-01,1.602870809562509935e-01,1.602870809562509935e-01
1.200000000000000000e+02,1.599045342245715151e-01,1.599045342245715151e-01,1.599045342245715151e-01,1.599045342245715151e-01,1.599045342245715151e-01
1.210000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.220000000000000000e+02,1.393442620095404483e-01,1.393442620095404483e-01,1.393442620095404483e-01,1.393442620095404483e-01,1.393442620095404483e-01
1.230000000000000000e+02,1.340909087861570370e-01,1.340909087861570370e-01,1.340909087861570370e-01,1.340909087861570370e-01,1.340909087861570370e-01
1.240000000000000000e+02,1.337719295312018997e-01,1.337719295312018997e-01,1.337719295312018997e-01,1.337719295312018997e-01,1.337719295312018997e-01
1.250000000000000000e+02,9.732360073643891996e-03,9.732360073643891996e-03,9.732360073643891996e-03,9.732360073643891996e-03,9.732360073643891996e-03
1.260000000000000000e+02,1.590361441950936261e-01,1.590361441950936261e-01,1.590361441950936261e-01,1.590361441950936261e-01,1.590361441950936261e-01
1.270000000000000000e+02,1.457286428499280362e-01,1.457286428499280362e-01,1.457286428499280362e-01,1.457286428499280362e-01,1.457286428499280362e-01
1.280000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.290000000000000000e+02,1.301204816141675047e-01,1.301204816141675047e-01,1.301204816141675047e-01,1.301204816141675047e-01,1.301204816141675047e-01
1.300000000000000000e+02,1.388888885381593663e-01,1.388888885381593663e-01,1.388888885381593663e-01,1.388888885381593663e-01,1.388888885381593663e-01
1.310000000000000000e+02,1.392405059766063102e-01,1.392405059766063102e-01,1.392405059766063102e-01,1.392405059766063102e-01,1.392405059766063102e-01
1.320000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.330000000000000000e+02,1.118421050178901172e-01,1.118421050178901172e-01,1.118421050178901172e-01,1.118421050178901172e-01,1.118421050178901172e-01
1.340000000000000000e+02,1.509900986361631114e-01,1.509900986361631114e-01,1.509900986361631114e-01,1.509900986361631114e-01,1.509900986361631114e-01
1.350000000000000000e+02,1.216814156599968638e-01,1.216814156599968638e-01,1.216814156599968638e-01,1.216814156599968638e-01,1.216814156599968638e-01
1.360000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.370000000000000000e+02,1.277056274292086013e-01,1.277056274292086013e-01,1.277056274292086013e-01,1.277056274292086013e-01,1.277056274292086013e-01
1.380000000000000000e+02,1.065989845010178044e-01,1.065989845010178044e-01,1.065989845010178044e-01,1.065989845010178044e-01,1.065989845010178044e-01
1.390000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+02,1.315789470798707228e-01,1.315789470798707228e-01,1.315789470798707228e-01,1.315789470798707228e-01,1.315789470798707228e-01
1.410000000000000000e+02,1.421319793346904059e-01,1.421319793346904059e-01,1.421319793346904059e-01,1.421319793346904059e-01,1.421319793346904059e-01
1.420000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.430000000000000000e+02,1.253012045173464983e-01,1.253012045173464983e-01,1.253012045173464983e-01,1.253012045173464983e-01,1.253012045173464983e-01
1.440000000000000000e+02,1.352657001563630501e-01,1.352657001563630501e-01,1.352657001563630501e-01,1.352657001563630501e-01,1.352657001563630501e-01
1.450000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.460000000000000000e+02,1.206140348232148385e-01,1.206140348232148385e-01,1.206140348232148385e-01,1.206140348232148385e-01,1.206140348232148385e-01
1.470000000000000000e+02,1.029082771747018427e-01,1.029082771747018427e-01,1.029082771747018427e-01,1.029082771747018427e-01,1.029082771747018427e-01
1.480000000000000000e+02,1.150442475330879510e-01,1.150442475330879510e-01,1.150442475330879510e-01,1.150442475330879510e-01,1.150442475330879510e-01
1.490000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+02,1.096491225665589403e-01,1.096491225665589403e-01,1.096491225665589403e-01,1.096491225665589403e-01,1.096491225665589403e-01
1.510000000000000000e+02,9.661835725454502588e-02,9.661835725454502588e-02,9.661835725454502588e-02,9.661835725454502588e-02,9.661835725454502588e-02
1.520000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.530000000000000000e+02,1.359223297671788011e-01,1.359223297671788011e-01,1.359223297671788011e-01,1.359223297671788011e-01,1.359223297671788011e-01
1.540000000000000000e+02,9.456264753058475636e-02,9.456264753058475636e-02,9.456264753058475636e-02,9.456264753058475636e-02,9.456264753058475636e-02
1.550000000000000000e+02,1.145833330349392415e-01,1.145833330349392415e-01,1.145833330349392415e-01,1.145833330349392415e-01,1.145833330349392415e-01
1.560000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.570000000000000000e+02,9.459459438154370348e-02,9.459459438154370348e-02,9.459459438154370348e-02,9.459459438154370348e-02,9.459459438154370348e-02
1.580000000000000000e+02,9.977324240414231493e-02,9.977324240414231493e-02,9.977324240414231493e-02,9.977324240414231493e-02,9.977324240414231493e-02
1.590000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+02,8.921161807217506401e-02,8.921161807217506401e-02,8.921161807217506401e-02,8.921161807217506401e-02,8.921161807217506401e-02
1.610000000000000000e+02,1.089588375085742411e-01,1.089588375085742411e-01,1.089588375085742411e-01,1.089588375085742411e-01,1.089588375085742411e-01
1.620000000000000000e+02,1.206030147723542306e-01,1.206030147723542306e-01,1.206030147723542306e-01,1.206030147723542306e-01,1.206030147723542306e-01
1.630000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.640000000000000000e+02,9.156626483959935670e-02,9.156626483959935670e-02,9.156626483959935670e-02,9.156626483959935670e-02,9.156626483959935670e-02
1.650000000000000000e+02,1.185983824296539535e-01,1.185983824296539535e-01,1.185983824296539535e-01,1.185983824296539535e-01,1.185983824296539535e-01
1.660000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.670000000000000000e+02,9.450549429779012134e-02,9.450549429779012134e-02,9.450549429779012134e-02,9.450549429779012134e-02,9.450549429779012134e-02
1.680000000000000000e+02,8.314087740614116429e-02,8.314087740614116429e-02,8.314087740614116429e-02,8.314087740614116429e-02,8.314087740614116429e-02
1.690000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,9.112149511420211678e-02,9.112149511420211678e-02,9.112149511420211678e-02,9.112149511420211678e-02,9.112149511420211678e-02
1.710000000000000000e+02,9.397590338800987375e-02,9.397590338800987375e-02,9.397590338800987375e-02,9.397590338800987375e-02,9.397590338800987375e-02
1.720000000000000000e+02,9.480812619682138509e-02,9.480812619682138509e-02,9.480812619682138509e-02,9.480812619682138509e-02,9.480812619682138509e-02
1.730000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.740000000000000000e+02,7.264957249433852404e-02,7.264957249433852404e-02,7.264957249433852404e-02,7.264957249433852404e-02,7.264957249433852404e-02
1.750000000000000000e+02,8.771929802576616808e-02,8.771929802576616808e-02,8.771929802576616808e-02,8.771929802576616808e-02,8.771929802576616808e-02
1.760000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.770000000000000000e+02,8.461538439842208881e-02,8.461538439842208881e-02,8.461538439842208881e-02,8.461538439842208881e-02,8.461538439842208881e-02
1.780000000000000000e+02,8.153477198672716419e-02,8.153477198672716419e-02,8.153477198672716419e-02,8.153477198672716419e-02,8.153477198672716419e-02
1.790000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+02,7.603686618424684851e-02,7.603686618424684851e-02,7.603686618424684851e-02,7.603686618424684851e-02,7.603686618424684851e-02
1.810000000000000000e+02,7.339449524450804285e-02,7.339449524450804285e-02,7.339449524450804285e-02,7.339449524450804285e-02,7.339449524450804285e-02
1.820000000000000000e+02,6.918238979207046169e-02,6.918238979207046169e-02,6.918238979207046169e-02,6.918238979207046169e-02,6.918238979207046169e-02
1.830000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.840000000000000000e+02,8.108108089846603750e-02,8.108108089846603750e-02,8.108108089846603750e-02,8.108108089846603750e-02,8.108108089846603750e-02
1.850000000000000000e+02,6.404958664452564676e-02,6.404958664452564676e-02,6.404958664452564676e-02,6.404958664452564676e-02,6.404958664452564676e-02
1.860000000000000000e+02,2.364066188264618909e-03,2.364066188264618909e-03,2.364066188264618909e-03,2.364066188264618909e-03,2.364066188264618909e-03
1.870000000000000000e+02,6.839622625378248555e-02,6.839622625378248555e-02,6.839622625378248555e-02,6.839622625378248555e-02,6.839622625378248555e-02
1.880000000000000000e+02,7.567567547114682769e-02,7.567567547114682769e-02,7.567567547114682769e-02,7.567567547114682769e-02,7.567567547114682769e-02
1.890000000000000000e+02,8.333333311631944962e-02,8.333333311631944962e-02,8.333333311631944962e-02,8.333333311631944962e-02,8.333333311631944962e-02
1.900000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.910000000000000000e+02,8.173076903430104290e-02,8.173076903430104290e-02,8.173076903430104290e-02,8.173076903430104290e-02,8.173076903430104290e-02
1.920000000000000000e+02,8.633093504476993529e-02,8.633093504476993529e-02,8.633093504476993529e-02,8.633093504476993529e-02,8.633093504476993529e-02
