run_id,ALPHA_Q_UPD,TAU_A_START,TAU_A_END,PATIENT_HABIT_STRENGTH,PATIENT_INFO_ASYMMETRY,WAIT_TOLERANCE_A0,score,n_targets_used,n_targets_in,pass_all,capacity_county_last,capacity_county_mean,capacity_primary_last,capacity_primary_mean,capacity_secondary_last,capacity_secondary_mean,capacity_township_last,capacity_township_mean,flow_share_county_mean,flow_share_primary_mean,insurance_county_share_mean,insurance_primary_share_mean,insurance_total_mean,referral_success_rate_mean,severity_county_mean,severity_primary_mean
20,0.20146070420232454,0.3126628316516329,0.061532005041370755,0.37701464163660053,0.11526396326705063,7.108262151224014,2.593858950574099,6,2,False,249.3440523936137,362.7647206579262,789.7629812189691,796.1793094867352,141.8092652189692,147.8649950867348,647.953716,648.3143144000018,0.11656913491750538,0.8834308621635907,0.35190302780457544,0.6480969721954247,94754.64764386717,0.0,0.689205014455816,0.24640644418464805
21,0.25926744164988624,0.2872825863452119,0.04630429377690687,0.37688898813556304,0.07342582060132294,8.977918010968043,0.0,6,6,True,1500.0,1500.0,795.6150684325667,785.2892296393785,172.33291428376657,162.00707549057927,623.2821541488,623.2821541488007,0.44457944988038994,0.5554205477178766,0.7704884123755624,0.22951158762443757,189622.23084210994,0.0,0.5841959692711725,0.24851092987392603
22,0.23085503783804825,0.3344149787767158,0.04353419425321361,0.3057179078999695,0.07883688611475918,7.719362058823645,5.732482603829715,6,2,False,65.49231850466042,111.1684178864968,723.6776444654283,719.9468991333717,147.76536446542826,144.03461913337097,575.91228,575.9122799999989,0.039297157146549536,0.9607028398177175,0.16885367697427484,0.8311463230257254,72369.25779637048,0.0,0.7906900946528604,0.2466724528493509
23,0.20601491844252887,0.3486288084831578,0.05961626304499487,0.3175050789622769,0.142963487540271,7.811709692179383,0.0003135028148720962,6,5,False,1200.0,1200.0,719.5638752,733.031946433935,206.48987519999997,219.95794643393467,513.0740000000001,513.0740000000004,0.391325861681452,0.6086741358567516,0.7315509714551864,0.26844902854481373,174724.56770438066,0.0,0.6024524790159023,0.2525402246127245
24,0.294364298706373,0.3045982794838254,0.037349383337642476,0.29660816674608564,0.1175850308794176,9.761607278518955,0.003624912374539711,6,5,False,1128.0,1128.0,729.2283997144904,734.2323015156803,197.73580556569036,202.7397073668805,531.4925941488,531.4925941488013,0.3705045940884088,0.6294954033985027,0.7145253765065536,0.2854746234934462,168076.2135156824,0.0,0.6109194085257229,0.25127918628964513
25,0.26836828722074013,0.3071234425938202,0.04263754433526105,0.38974787696275703,0.1471832555000565,7.909480463621058,1.4569484484619941e-05,6,5,False,1500.0,1500.0,776.7461732672817,773.0774166687407,172.51913476740967,168.85037816887,604.227038499872,604.2270384998716,0.4441308670594981,0.5558691305506898,0.7700642126795921,0.2299357873204078,190467.4850449686,0.0,0.5847519494160709,0.24930140627156588
26,0.22680550014341636,0.31251802895369574,0.05783256506101099,0.29127315630952466,0.10705335566993637,6.1095573549262205,0.0,6,6,True,1464.0,1464.0,766.9999942867574,759.932211466336,186.41760868675738,171.0624411303357,580.5823856000001,588.8697703359994,0.42933822395216914,0.5706617736331484,0.7604699634296224,0.2395300365703777,185476.017566593,0.0,0.5910511816716508,0.24943288727138627
27,0.22725720295213805,0.2889835837579715,0.0323589891261832,0.37892525544816474,0.11534740953673697,9.039609542560628,2.7580987107276367,6,2,False,237.5036336979692,325.0088126839941,710.3765081384711,724.175679858292,153.07146963859907,166.87064135841914,557.305038499872,557.3050384998716,0.10841644968095597,0.8915835473909233,0.34155128903374843,0.6584487109662516,91812.82441242067,0.0,0.6924209472663856,0.24776830886609943
28,0.24312763983504163,0.2506401329063654,0.06281851088954356,0.3329873391983375,0.08330013922880215,7.2885447113660895,0.00010292700285403417,6,5,False,1464.0,1464.0,756.5944209946628,762.5095495724272,154.6509257786627,167.61778395642733,601.9434952160001,594.891765616,0.4428859768465012,0.5571140207797831,0.7688886631228182,0.2311113368771818,191242.53975502215,0.0,0.5832473065632456,0.2496376626145844
29,0.22100539959727386,0.264701668941332,0.035819744928841095,0.33260401219741426,0.06172659528678107,7.207624672853097,0.003766733869515239,6,5,False,1128.0,1128.0,754.236702652133,774.2327022612122,167.4767863285591,185.4269570215257,586.7599163235739,588.8057452396848,0.36993313902843106,0.6300668584679877,0.71482901498564,0.2851709850143601,167169.94317304535,0.0,0.6075690005662414,0.24971806360191479
30,0.2894848569957947,0.3209534313753993,0.058281608033364185,0.20348606310974354,0.13798906727651256,7.632144730327946,0.08701767273708959,6,4,False,888.1987057163494,914.7916429825934,668.0144524067116,667.8074355152672,153.72489240671163,153.51787551526704,514.2895599999999,514.2895599999994,0.30908613199224005,0.6909138654137986,0.6438330389357562,0.3561669610642442,152226.6175317055,0.0,0.6291831248833545,0.24855033405704444
31,0.2203586737004993,0.34836124077157804,0.03135196543064231,0.24275716100295736,0.07843430219022325,9.02689522746227,0.0010060394089373822,6,5,False,1200.0,1200.0,756.9664330050766,729.7328761556103,216.08404740507655,187.15316021961073,540.8823856,542.5797159359997,0.38446135597470066,0.6155386415559113,0.7270940230827234,0.2729059769172765,172274.94977309008,0.0,0.604578831286775,0.2496823597083994
32,0.26889440280434074,0.2610221539647977,0.0501451138826946,0.2296466530191813,0.07213394406007337,9.854627574127164,3.2018009217368637,6,2,False,406.2694860961428,271.89604503901285,715.6672067093401,709.2586141206771,155.70061256054007,149.292019971877,559.9665941488,559.9665941487988,0.09129001551749452,0.908709981554084,0.3073812163983887,0.6926187836016111,87632.70796752228,0.0,0.725217523728209,0.2483373358637862
33,0.2586281209608276,0.34488851656245256,0.04987587509536361,0.3877802622113169,0.07870234451893092,6.970452806055725,5.2003198151432006e-05,6,5,False,1500.0,1500.0,814.4011619500152,811.0482842239237,195.45336195001533,190.73728422392495,618.9477999999999,620.3110000000011,0.44366303638969984,0.5563369612251412,0.7697411865281834,0.23025881347181684,190883.20324516585,0.0,0.5848155107992955,0.24977892325724865
34,0.2098389488429818,0.3058504185696967,0.04200800538331485,0.36625707127326385,0.0826520619947411,9.1519818888466,0.00012310513202252855,6,5,False,1200.0,1200.0,829.921482879903,831.6932981880068,206.96166766390294,208.7334829720064,622.959815216,622.9598152160014,0.39456444743513536,0.6054355501355286,0.7343165163279474,0.2656834836720524,177383.88381004543,0.0,0.6002626320264671,0.25129616893546664
35,0.20194362500028903,0.3461453131241742,0.050964807635245316,0.348647357303953,0.05740730310043676,7.3845501166651975,0.0,6,6,True,1500.0,1500.0,761.4351186819733,756.1591713403718,196.16771364197336,190.89176630037255,565.26740504,565.2674050400003,0.4290655570005936,0.5709344406069288,0.759700628665618,0.24029937133438192,187365.28653231022,0.0,0.5897930742001559,0.2502327492800816
36,0.2362091181545677,0.28539764381949695,0.05048944139675786,0.3237976162236478,0.13276374385714956,8.900426575913684,3.958160565807511,6,2,False,134.3004752288708,227.96522849524428,740.7873294810241,746.8792139795374,128.7133294810241,134.8052139795354,612.0740000000001,612.0740000000004,0.07483944421855251,0.9251605527912343,0.2656822384745901,0.7343177615254095,82161.05955840397,0.0,0.7261664885867593,0.24567110986418697
37,0.26054789850098364,0.34707690699356103,0.03590495621326842,0.3451031677109103,0.08175714326472189,9.758259644042646,1.159173161137572e-05,6,5,False,1200.0,1200.0,824.2684685169027,841.8253566344741,192.16498591905878,202.31049095851307,632.1034825978439,639.5148656759596,0.3983320624751718,0.60166793507866,0.7368119874377653,0.2631880125622343,176762.09394745086,0.0,0.599726401034999,0.2519388459771062
38,0.24597673176716697,0.27067961490891357,0.05527682399883581,0.22764366899825586,0.06581316280074492,9.78260696404445,2.0251161873724493,6,2,False,249.3440523936137,417.22736647478666,738.2778958224666,751.3550612063198,166.0857094224665,174.51647480631925,572.1921864000001,576.838586400001,0.13630604555108713,0.8636939515732697,0.397025273996862,0.602974726003138,100816.27340561026,0.0,0.6948328578367945,0.24982844178636687
39,0.26575726407470807,0.28929300480843717,0.055490736137740096,0.3101561677689609,0.05044402806134414,8.044069482135772,0.0,6,6,True,1410.0,1494.6,732.8308656050472,727.6647455015195,169.5568656050472,164.3907455015192,563.274,563.2739999999993,0.43704811986295217,0.5629518777219228,0.7658148345521283,0.23418516544787188,187064.79861743166,0.0,0.5883585654463495,0.24846078818083175
40,0.20601021404317885,0.25769831037381713,0.0500269312305385,0.3765381536764953,0.0909598725885796,8.903440611149442,0.0,6,6,True,1200.0,1200.0,710.96485752923,723.3400247674201,174.69826800923,187.07343524742086,536.26658952,536.2665895199992,0.4037296999096649,0.59627029762586,0.7411718240100497,0.25882817598995045,176849.80197077582,0.0,0.599046154555348,0.25205968336060297
41,0.23710634166719285,0.2780677939833583,0.06318823627431888,0.3218121483316453,0.057767114084829686,8.357371298099755,0.000984572350732698,6,5,False,1200.0,1200.0,766.5510896504773,761.6577550248127,199.02795564586216,190.77339417746006,567.523134004615,570.8843608473536,0.3846280331715214,0.6153719643695131,0.7272490775314757,0.27275092246852445,172903.04170293297,0.0,0.6048215218650767,0.2499232865486949
42,0.2592034750941708,0.2819701438474051,0.06727933306021508,0.2700708371161202,0.1392742146588588,9.942949135752473,0.1124631681074023,6,3,False,557.361436251151,946.0802499239185,844.2583277576409,836.1595265180528,219.882327757641,216.4203265180542,624.376,619.7391999999985,0.30588437111531275,0.694115626275194,0.6422777967748259,0.35772220322517406,149399.68447561888,0.0,0.6317544311756285,0.2519549609567519
